0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
G1,NIL,NIL,NIL,NIL,NIL,NIL,NIL,HAMMER,HALO,ASLAN,DIVA,BEAST,CALCIUM,BEAST,CHIMNEY,ASIAN,LIGHTYEAR,HAMMER,CHIMNEY,CALCIUM,TONIC/DIVA(R),CHISEL,DIVA,HAMMER,BEAST/DIVA,RUBIK,HAMMER,LIGHTYEAR/CALCIUM,DIVA,CHISEL,HAMMER
G2,NIL,NIL,NIL,NIL,NIL,NIL,NIL,MAFIA,SPRITE,RUBIK,MAFIA,TWO-FACE,ZINC,CADENCE/DOUBLE,ZINC/COMIC,RUBIK,ZINC,PSYCHO,TWO-FACE/DOUBLE,TWO-FACE,SNAP/DOUBLE(R),PSYCHO/ZINC,MAFIA,CHIMNEY,SPRITE/TONIC,PSYCHO,TWO-FACE,CADENCE,DOUBLE,CHIMNEY/TWO-FACE,GENGAR
G3A,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CLOUDY,IMACS,FLARE,GUNDAM,FLARE,GUNDAM,CLOUDY,IMACS,CLERIC,IGNITE,DO-IT,CLERIC,DO-IT,GUNDAM/FLARE(R),CLERIC,GUNDAM,IMACS,DO-IT,CLOUDY,IMACS,DO-IT,CLERIC,FLARE,GUNDAM
G3S,NIL,NIL,NIL,NIL,NIL,NIL,NIL,ADERIC,FURY,GHOST,FURY,WINGKIT,BOLT,PEANUT,WINGKIT,WASP,PEANUT,WASP,FURY,WINGKIT,WASP/PEANUT(R),PEANUT,ADERIC,GHOST/WINGKIT,FUTY/WASP,ADERIC,GHOST,ADERIC,WASP,GHOST,FURY/ADERIC
G1 SB,NIL,NIL,NIL,NIL,NIL,NIL,NIL,CALCLUM,CHIMNEY,HAMMER,CHIMNEY,HAMMER,HAMMER/LIGHTYEAR,DIVE,CALCIUM,HAMMER,CHIMNEY,CHISEL,CALCIUM,CHISEL,DIVA,HAMMER,CALCIUM,ASLAN,CHISEL,HAMMER,DIVA,CHIMNEY,HAMMER,CALCIUM,LIGHTYEAR
G2 SB,NIL,NIL,NIL,NIL,NIL,NIL,NIL,COMIC,COMIC,DOUBLE,PSYCHO,DOUBLE,TWO-FACE,DOUBLE,SNAP,TWO-FACE,PSYCHO,DOUBLE,PSYCHO,ZINC,DOUBLE,ZINC/PSYCHO,TWO-FACE,DOUBLE,TONIC/SPRITE,TWO-FACE,MAFIA,DOUBLE,MAFIA,TWO-FACE/PSYCHO,GENGAR/MAFIA
G3A SB,NIL,NIL,NIL,NIL,NIL,NIL,NIL,GUNDAM,FLARE,GUNDAM,CLERIC,CLOUDY,IMACS,IMACS,GUNDAM,CLOUDY,IMACS,GUNDAM,FLARE,CLOUDY,FLARE,IMACS,FLARE,FLARE,GUNDAM,FLARE,CLERIC,GUNDAM,CLOUDY,DO-IT,CLERIC
G3S SB,NIL,NIL,NIL,NIL,NIL,NIL,NIL,WASP,PEANUT,ADERIC,PEANUT,GHOST,PEANUT,ADERIC/FURY,ADERIC,BOLT,ADERIC,BOLT,ADERIC,WASP,PEANUT,GHOST,BOLT,WASP/GHOST,WASP/FURY,PEANUT,FURY,WASP,GHOST,PEANUT,ADERIC/FURY
